Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,563174,-,b'None',b'None',37.82,-122.41,0,0,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,GHI,Temperature,Relative Humidity,Wind Speed
2020,1,2,23,40,190,16.5,67.68,1.6
2020,1,2,23,50,163,16.5,67.68,1.6
2020,1,3,0,0,137,14.4,76,1.6
2020,1,3,0,10,110,14.200000000000001,76.98,1.6
2020,1,3,0,20,84,13.9,78.49,1.6
2020,1,3,0,30,60,13.700000000000001,79.52,1.7000000000000002
2020,1,3,0,40,37,13.4,77.81,1.7000000000000002
2020,1,3,0,50,8,13.200000000000001,78.83,1.7000000000000002
2020,1,3,1,0,0,12.9,80.39,1.8
2020,1,3,1,10,0,12.8,80.91,1.8
2020,1,3,1,20,0,12.600000000000001,81.98,1.8
2020,1,3,1,30,0,12.4,83.06,1.8
2020,1,3,1,40,0,12.3,84.84,1.8
2020,1,3,1,50,0,12.100000000000001,85.96000000000001,1.8
2020,1,3,2,0,0,12,86.52,1.8
2020,1,3,2,10,0,11.9,87.18,1.8
2020,1,3,2,20,0,11.9,87.18,1.8
2020,1,3,2,30,0,11.8,87.75,1.8
2020,1,3,2,40,0,11.8,89.21000000000001,1.8
2020,1,3,2,50,0,11.700000000000001,89.8,1.8
2020,1,3,3,0,0,11.600000000000001,90.4,1.8
2020,1,3,3,10,0,11.700000000000001,89.8,1.7000000000000002
2020,1,3,3,20,0,11.700000000000001,89.8,1.7000000000000002
2020,1,3,3,30,0,11.700000000000001,89.8,1.7000000000000002
2020,1,3,3,40,0,11.700000000000001,90.86,1.6
2020,1,3,3,50,0,11.700000000000001,90.95,1.6
2020,1,3,4,0,0,11.700000000000001,90.95,1.6
2020,1,3,4,10,0,11.700000000000001,90.95,1.6
2020,1,3,4,20,0,11.700000000000001,90.95,1.5
2020,1,3,4,30,0,11.700000000000001,90.95,1.5
2020,1,3,4,40,0,11.8,90.60000000000001,1.5
2020,1,3,4,50,0,11.8,90.60000000000001,1.4000000000000001
2020,1,3,5,0,0,11.8,90.60000000000001,1.4000000000000001
2020,1,3,5,10,0,11.8,90.60000000000001,1.4000000000000001
2020,1,3,5,20,0,11.8,90.60000000000001,1.4000000000000001
2020,1,3,5,30,0,11.8,90.60000000000001,1.3
2020,1,3,5,40,0,11.8,90.21000000000001,1.3
2020,1,3,5,50,0,11.8,90.21000000000001,1.3
2020,1,3,6,0,0,11.8,90.21000000000001,1.2000000000000002
2020,1,3,6,10,0,11.8,90.21000000000001,1.2000000000000002
2020,1,3,6,20,0,11.700000000000001,90.8,1.2000000000000002
2020,1,3,6,30,0,11.700000000000001,90.8,1.2000000000000002
2020,1,3,6,40,0,11.700000000000001,89.95,1.1
2020,1,3,6,50,0,11.700000000000001,89.95,1.1
2020,1,3,7,0,0,11.700000000000001,89.95,1.1
2020,1,3,7,10,0,11.600000000000001,90.55,1.1
2020,1,3,7,20,0,11.5,91.15,1.1
2020,1,3,7,30,0,11.4,91.75,1
2020,1,3,7,40,0,11.3,91.46000000000001,1
2020,1,3,7,50,0,11.3,91.46000000000001,1
2020,1,3,8,0,0,11.200000000000001,91.97,1
2020,1,3,8,10,0,11.100000000000001,92.58,1
